ANT1,59.84,102.94,90.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,45.35,123.14,270.00,12pF,NORDIC_NRF_3_RESC0201_N
C1-EP-DR,32.47,91.98,0.00,10uF,PERFECT_0402_0402
C10,32.62,113.75,0.00,N.C.,NORDIC_NRF_3_RESC0201_N
C11,44.82,117.13,0.00,100pF,NORDIC_NRF_3_RESC0201_N
C12,58.55,94.29,0.00,100nF,NORDIC_NRF_3_RESC0201_N
C13,45.29,108.91,270.00,N.C.,NORDIC_NRF_3_RESC0201_N
C14,48.38,97.86,0.00,4.7µF,PERFECT_0402_0402
C15,49.03,109.58,180.00,1.0µF,PERFECT_0402_0402
C16,33.17,112.58,0.00,47nF,NORDIC_NRF_3_RESC0201_N
C17,44.87,112.10,0.00,12pF,PERFECT_0402_0402
C18,57.12,92.58,180.00,12pF,PERFECT_0402_0402
C19,33.37,96.58,270.70,100nF,NORDIC_NRF_3_RESC0201_N
C2,46.63,113.51,90.00,12pF,NORDIC_NRF_3_RESC0201_N
C2-EP-DR,27.22,119.45,0.00,4.7uF/25V,PERFECT_0402_0402
C20,32.62,116.92,0.00,4.7µF,PERFECT_0402_0402
C21,32.25,119.47,0.00,4.7µF,PERFECT_0402_0402
C22,50.64,114.74,0.00,N.C.,NORDIC_NRF_3_RESC0201_N
C23,54.65,123.48,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,47.55,122.37,180.00,10uF,PERFECT_0402_0402
C25,57.78,120.23,270.00,22uF,PERFECT_0402_0402
C27,31.06,100.51,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,45.80,94.94,1.10,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,49.04,113.88,0.00,1pF,NORDIC_NRF_3_RESC0201_N
C30,23.83,92.71,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,33.91,93.57,0.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,53.38,101.02,180.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,55.65,120.22,270.00,22uF,PERFECT_0402_0402
C34,57.43,105.06,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,21.18,98.75,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
